"domain","name","full_name","rating"
"System/OS/Architecture/Distributed & Parallel Computing","HPCA","International Symposium on High-Performance Computer Architecture","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","ISCA","International Symposium on Computer Architecture","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","SOSP","ACM Symposium on Operating Systems Principles","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","ASPLOS","Architectural Support for Programming Languages and Operating Systems","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","EUROSYS","European Conference on Computer Systems","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","USENIX ATC","USENIX Annual Technical Conference","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","USENIX OSDI","USENIX Symposium on Operating Systems Design and Implementation","최우수"
"System/OS/Architecture/Distributed & Parallel Computing","SC","ACM/IEEE International Conference for High Performance Computing&  Networking&  Storage and Analysis","우수"
"System/OS/Architecture/Distributed & Parallel Computing","CAV","International Conference on Computer-Aided Verification","우수"
"System/OS/Architecture/Distributed & Parallel Computing","ICS","ACM International Conference on Supercomputing","우수"
"System/OS/Architecture/Distributed & Parallel Computing","ISC","International Supercomputing Conference(ISC High Performance)","우수"
"System/OS/Architecture/Distributed & Parallel Computing","SEC","ACM/IEEE Symposium on Edge Computing","우수"
"System/OS/Architecture/Distributed & Parallel Computing","SOCC","ACM Symposium on Cloud Computing","우수"
"System/OS/Architecture/Distributed & Parallel Computing","ICCAD","IEEE/ACM International Conference on Computer-Aided Design","우수"
"System/OS/Architecture/Distributed & Parallel Computing","ICDCS","International Conference on Distributed Computing Systems","우수"
"System/OS/Architecture/Distributed & Parallel Computing","IPDPS","IEEE International Parallel and Distributed Processing Symposium","우수"
"System/OS/Architecture/Distributed & Parallel Computing","PPoPP","Principles and Practice of Parallel Programming","우수"
"System/OS/Architecture/Distributed & Parallel Computing"," MLSys","Conference on Machine Learning and Systems","우수"
"System/OS/Architecture/Distributed & Parallel Computing","MIDDLEWARE","ACM/IFIP/USENIX International Middleware Conference","우수"
"System/OS/Architecture/Distributed & Parallel Computing","SIGMETRICS","ACM SIGMETRICS Measurement and Modeling of Computer Systems","우수"
"System/OS/Architecture/Distributed & Parallel Computing","USENIX FAST","USENIX Conference on File and Storage Technologies","우수"
"AR/MR/VR","VR","IEEE Virtual Reality Conference","우수"
"AR/MR/VR","VRST","ACM Symposium on Virtual Reality Software and Technology","우수"
"AR/MR/VR","Photonics West","Photonics West","우수"
"Health&  Digital Health & Biometrics","EMBC","Engineering in Medicine and Biology Conference","우수"
"Health&  Digital Health & Biometrics","ICMI","International Conference on Multimodal Interfaces","우수"
"Health&  Digital Health & Biometrics","MICCAI","Medical Image Computing and Computer Assisted Intervention Society","우수"
"Health&  Digital Health & Biometrics","IEEE BHI&BSN","IEEE-EMBS International Conference on Biomedical and Health Informatics(BHI) and the Body Sensor Networks(BSN) Conferences","우수"
"Etc._Magnetic recording devices","TMRC","The Magnetic Recording Conference ","우수"
"Intelligence","ACL","Association for Computational Linguistics","최우수"
"Intelligence","AAAI","National Conference on Artificial Intelligence","최우수"
"Intelligence","CVPR","Computer Vision and Pattern Recognition","최우수"
"Intelligence","ECCV","European Conference on Computer Vision ","최우수"
"Intelligence","ICCV","International Conference on Computer Vision","최우수"
"Intelligence","ICLR","International Conference on Learning Representation","최우수"
"Intelligence","ICML","International Conference on Machine Learning","최우수"
"Intelligence","EMNLP","Conference on Empirical Methods in Natural Language Processing ","최우수"
"Intelligence","ICASSP","International Conference on Acoustics&  Speech&  and Signal Processing","최우수"
"Intelligence","NeurIPS","Neural Information Processing Systems","최우수"
"Intelligence","INTERSPEECH","Annual Conference of the International Speech Communication Association","최우수"
"Intelligence","EC","ACM Conference on Electronic Commerce","우수"
"Intelligence","FG","IEEE International Conference on Automatic Face & Gesture Recognition","우수"
"Intelligence","3DV","International Conference on 3D Vision","우수"
"Intelligence","CEC","IEEE Congress on Evolutionary Computation","우수"
"Intelligence","SLT","IEEE Spoken Language Technology Workshop","우수"
"Intelligence","WMT","Conference On Machine Translation
(WMT: Workshop on Machine Translation)","우수"
"Intelligence","ACCV","Asian Conference on Computer Vision","우수"
"Intelligence","ASRU","IEEE Workshop on Automatic Speech Recognition & Understanding","우수"
"Intelligence","AVSS","IEEE International Conference on Advanced Video and Signal-Based Surveillance","우수"
"Intelligence","EACL","European Association for Computational Linguistics","우수"
"Intelligence","LREC","International Conference on Language Resources and Evaluation ","우수"
"Intelligence","CoNLL","Conference on Natural Language Learning","우수"
"Intelligence","ICDAR","International Conference on Document Analysis and Recognition","우수"
"Intelligence","IJCAI","International Joint Conference on Artificial Intelligence","우수"
"Intelligence","SIGIR","Research and Development in Information Retrieval","우수"
"Intelligence","CVPR-W","CVPR Workshops (※ Peer Review를 받고 발표된 논문에 대해서만 실적 인정)","우수"
"Intelligence","IJCNLP","International Joint Conference on Natural Language Processing","우수"
"Intelligence","RecSys","ACM Conference on Recommender Systems","우수"
"Intelligence","AISTATS","International Conference on Artificial Intelligence and Statistics","우수"
"Intelligence","SIGDIAL","Annual Meeting of the Special Interest Group on Discourse and Dialogue ","우수"
"Intelligence","SemEval","International Workshop on Semantic Evaluation","우수"
"Intelligence","NAACL/HLT","Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies","우수"
"Intelligence","BMVC (easy)","British Machine Vision Conference","우수"
"Intelligence","ICIP (easy)","IEEE International Conference on Image Processing","우수"
"Intelligence","WACV (easy)","IEEE Winter Conference on Applications of Computer Vision","우수"
"Intelligence","COLING (easy)","International Conference on Computational Linguistics","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","WWW","World Wide Web Conference Series","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","CIKM","International Conference on Information and Knowledge Management","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ICDE","International Conference on Data Engineering","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ICDM","IEEE International Conference on Data Mining","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","WSDM","ACM International Conference on Web Search and Data Mining","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","SIGKDD","ACM SIGKDD Conference on Knowledge Discovery and Data Mining","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","SIGMOD","International Conference on Management of Data","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","BIGDATA","IEEE International Conference on BigData","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","VLDB/PVLDB","International Conference on Very Large DataBases","최우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","SDM","SIAM International Conference on Data Mining","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ISWC","International Semantic Web Conference","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","PODS","Symposium on Principles of Database","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","AAMAS","International Conference on Autonomous Agents and Multiagent Systems","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ICWSM","International AAAI Conference on Web and Social Media","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ISMIR","International Society for Music Information Retrieval Conference","우수"
"Data&  Service (Database&  Data Mining&  Information Retrieval&  WWW) ","ECML PKDD","European Conference on Machine learning and knowledge discovery in databases","우수"
"Network & Communications","ICC","IEEE International Conference on Communications","최우수"
"Network & Communications","INFOCOM","IEEE Conference on Computer Communications","최우수"
"Network & Communications","MOBICOM","ACM International Conference on Mobile Computing and Networking","최우수"
